,portfolio_basis,portfolio_delta,percent_change
2016-05-16,217758530.86,-50333676.36000001,-0.23114445234919512
2016-05-17,217788530.86,-50934073.13000001,-0.23386940041733292
2016-05-18,217788530.86,-50265972.40000001,-0.23080174241274556
2016-05-19,217863530.86,-51471428.760000005,-0.2362553684722743
2016-05-20,217863530.86,-51376742.14000001,-0.23582075410783143
2016-05-21,217878530.86,-32870486.49,-0.15086611039763828
2016-05-22,217878530.86,-32870486.49,-0.15086611039763828
2016-05-23,217878530.86,-50861046.35000001,-0.23343762301518947
2016-05-24,217978530.86,-49331841.47,-0.22631513881375828
2016-05-25,218103530.86000007,-48445970.5,-0.22212373320584758
2016-05-26,218103530.86000007,-48941690.67,-0.22439659952784308
2016-05-27,218103530.86000007,-48780487.38,-0.22365748590889176
2016-05-28,218103530.86000007,-32871338.279999997,-0.15071437931511525
2016-05-29,218103530.86000007,-32871338.279999997,-0.15071437931511525
2016-05-30,218103530.86000007,-32866908.97,-0.1506940710239907
2016-05-31,218103530.86000007,-48994868.89000001,-0.22464042052326816
2016-06-01,218103530.86000007,-48339135.88000001,-0.2216338987699779
2016-06-02,218103530.86000007,-48452653.95000001,-0.22215437668041058
2016-06-03,218103530.86000007,-48856027.089999996,-0.22400383385521858
2016-06-04,218103530.86000007,-32871338.279999997,-0.15071437931511525
2016-06-05,218103530.86000007,-32871338.279999997,-0.15071437931511525
2016-06-06,218103530.86000007,-47945731.050000004,-0.2198301460822118
2016-06-07,218103530.86000007,-47457792.23000001,-0.21759295708267562
2016-06-08,218233530.86000007,-47132752.75,-0.21597392739906837
2016-06-09,218233530.86000007,-47599349.12,-0.2181119873395425
2016-06-10,218233530.86000007,-48855290.110000014,-0.22386701950646337
2016-06-11,218263530.86000007,-32866158.069999997,-0.1505801630739732
2016-06-12,218263530.86000007,-32866158.069999997,-0.1505801630739732
2016-06-13,218263530.86000007,-49817392.68,-0.2282442352311902
2016-06-14,218278530.86000007,-49875783.36,-0.22849605576642545
2016-06-15,218278530.86000007,-49844338.45000002,-0.22835199711862308
2016-06-16,218278530.86000007,-49323540.55,-0.22596606434755248
2016-06-17,218278530.86000007,-49867777.08000001,-0.22845937657508017
2016-06-18,218301622.34000003,-32863868.979999997,-0.15054340241601702
2016-06-19,218301622.34000003,-32863868.979999997,-0.15054340241601702
2016-06-20,218301622.34000003,-49373386.41000001,-0.2261704969516994
2016-06-21,218316622.34000003,-49329384.04999999,-0.22595340437786648
2016-06-22,218316622.34000003,-49732746.76,-0.22780100858535474
2016-06-23,218316622.34000003,-47549048.720000006,-0.2177985725976856
2016-06-24,218331622.34000003,-51240425.64000001,-0.2346908115774687
2016-06-25,218376622.34000003,-32863868.979999997,-0.15049169928470096
2016-06-26,218376622.34000003,-32863868.979999997,-0.15049169928470096
2016-06-27,218376622.34000003,-53392970.339999996,-0.24449947878060943
2016-06-28,218441622.34000003,-51594094.59,-0.23619168378860886
2016-06-29,218856622.34000003,-49609180.37000002,-0.226674339755325
2016-06-30,218886622.34000003,-47873621.78000001,-0.21871424241558793
2016-07-01,218895349.11000004,-47440322.03000001,-0.21672603928263517
2016-07-02,218936752.71000004,-32863868.979999997,-0.15010667954653975
2016-07-03,218936752.71000004,-32863868.979999997,-0.15010667954653975
2016-07-04,218936752.71000004,-32858855.919999998,-0.1500837822488593
2016-07-05,218936752.71000004,-47752307.160000004,-0.21811005493103258
2016-07-06,218936752.71000004,-47833935.70999999,-0.2184828957126263
2016-07-07,219036752.71000004,-47953493.10999999,-0.21892898117189213
2016-07-08,219111752.71000004,-46225593.760000005,-0.2109681164441268
2016-07-09,219111752.71000004,-32863868.979999997,-0.14998679246336988
2016-07-10,219111752.71000004,-32863868.979999997,-0.14998679246336988
2016-07-11,219111752.71000004,-45550945.03,-0.2078890998160552
2016-07-12,219111752.71000004,-44696073.74000002,-0.20398756884189778
2016-07-13,219111752.71000004,-44857161.140000015,-0.20472275259177725
2016-07-14,219111752.71000004,-43872044.61000001,-0.20022679782067998
2016-07-15,219111752.71000004,-43733472.33,-0.19959437040277048
2016-07-16,219126752.71000004,-32869515.589999996,-0.1500022940307095
2016-07-17,219126752.71000004,-32869515.589999996,-0.1500022940307095
